Age,Grad_Period,Children,S1,A2,D3,A4,D5,S6,A7,S8,A9,D10,S11,S12,D13,S14,A15,D16,D17,S18,A19,A20,D21
22,6,0,0,2,1,2,2,0,2,0,2,0,0,1,3,1,0,1,2,1,0,1,3
33,4,0,0,0,1,0,0,2,0,2,1,1,0,1,3,2,0,2,2,2,1,0,2
31,6,0,1,0,0,1,0,2,0,2,1,3,3,2,2,1,1,0,2,2,0,2,1
19,7,0,0,1,0,1,1,0,1,3,0,1,1,1,0,0,1,2,2,0,2,0,2
27,7,0,1,0,0,0,0,1,2,1,1,0,2,1,4,0,2,0,0,1,0,0,3
27,9,0,2,2,2,1,2,0,0,1,0,0,1,2,1,1,0,0,1,1,2,0,0
24,3,0,1,2,1,0,2,4,0,1,1,4,1,2,2,0,0,1,2,1,1,0,3
18,8,0,1,2,0,0,2,0,0,1,1,3,1,3,1,0,0,0,2,2,0,1,1
23,3,0,0,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,0,1,0,0,1
32,10,0,1,0,0,0,0,1,1,1,0,0,2,1,2,2,2,0,0,1,1,0,0
19,6,0,1,1,1,0,1,0,1,1,0,2,2,4,1,1,0,1,1,0,0,0,2
20,6,0,1,0,1,0,0,0,1,0,2,1,2,1,2,1,1,0,1,0,0,1,0
24,7,0,0,1,1,0,1,0,1,2,1,1,3,1,0,2,0,1,2,0,1,1,0
25,10,0,1,0,0,1,0,1,1,1,0,2,1,1,1,1,0,1,1,1,1,0,1
29,5,0,0,1,1,1,1,2,1,0,1,0,2,2,1,1,0,2,1,0,1,1,1
27,3,0,2,1,2,0,1,2,2,1,0,1,1,1,1,0,1,1,0,0,0,2,1
19,6,0,1,1,1,0,1,3,0,2,1,2,0,1,1,0,1,1,3,2,0,0,0
27,8,0,1,1,2,0,1,1,0,2,1,2,2,3,0,2,0,1,0,1,2,2,1
20,7,0,1,0,1,2,0,1,1,0,0,2,2,0,1,0,0,2,1,1,1,0,1
25,6,0,3,2,0,1,2,1,0,1,1,2,1,2,0,0,0,1,1,1,2,0,2
22,4,0,3,0,0,2,0,1,1,1,0,1,1,3,0,1,1,1,3,0,0,2,0
21,6,0,0,1,0,0,1,0,1,2,0,2,2,3,0,1,0,0,0,1,0,2,0
18,7,0,1,2,0,0,2,1,0,2,0,1,0,0,2,2,1,1,1,1,1,1,1
23,5,0,1,0,1,0,0,1,0,1,0,0,2,0,1,2,0,0,0,3,0,0,0
23,1,0,2,0,0,1,0,3,1,0,0,3,2,1,2,0,1,1,1,1,1,0,2
25,2,0,0,1,1,0,1,2,1,3,1,1,1,2,2,0,0,0,1,2,1,1,1
21,4,0,1,0,0,1,0,1,0,1,0,1,0,3,3,0,1,2,1,2,0,1,0
24,5,0,1,1,0,0,1,0,1,2,1,2,2,2,1,1,0,0,1,2,2,0,1
22,10,0,1,1,1,3,1,2,0,0,1,2,3,1,0,1,1,1,0,0,2,1,0
18,5,0,2,1,1,2,1,1,1,2,0,1,2,2,1,1,0,1,2,0,0,1,2
29,8,0,1,0,1,0,0,2,1,1,0,0,0,1,2,2,0,1,0,3,1,1,1
20,8,0,1,0,1,1,0,0,2,0,1,2,0,2,0,1,0,1,2,0,1,1,2
28,7,0,0,2,1,1,2,1,0,0,1,2,1,2,1,0,0,2,1,2,2,1,0
22,7,0,2,2,1,2,2,0,0,2,1,1,0,1,2,2,0,1,1,1,2,0,1
24,8,0,0,1,2,1,1,1,1,1,2,0,0,4,1,0,0,1,1,0,2,0,1
19,5,0,2,0,0,1,0,1,1,0,2,0,1,0,0,2,1,2,1,1,0,1,0
28,6,0,1,0,0,0,0,1,1,0,1,1,2,2,1,0,0,0,1,0,1,0,0
27,11,0,2,2,1,1,2,1,1,1,2,1,2,3,1,1,0,1,0,1,0,2,2
20,5,0,2,2,1,0,2,2,0,1,2,0,2,1,1,0,0,1,1,0,0,0,0
18,8,0,1,0,0,1,0,1,1,1,2,0,0,2,2,2,0,1,1,1,0,0,0
24,8,0,2,2,1,2,2,0,0,3,0,2,2,1,1,1,0,1,1,2,0,0,2
22,5,0,1,1,0,0,1,0,1,1,2,1,2,3,2,0,0,0,1,0,0,0,1
30,6,0,0,1,0,1,1,0,0,2,1,0,2,3,0,0,1,2,0,2,1,0,1
22,7,0,0,1,1,0,1,1,0,1,0,2,0,1,2,0,1,0,0,0,2,1,1
24,4,0,1,2,1,0,2,3,0,0,1,3,1,2,2,2,0,0,2,1,0,1,3
24,0,0,1,0,1,0,0,2,2,0,1,1,2,1,1,1,1,1,2,2,0,2,2
32,5,0,1,2,1,2,2,1,0,0,0,1,3,2,1,1,1,2,1,2,0,2,2
30,3,0,1,1,3,1,1,1,1,1,0,1,1,0,3,1,0,1,2,1,0,1,0
25,11,0,1,1,1,0,1,0,0,2,0,0,2,3,1,2,0,0,1,2,1,0,0
23,7,0,2,1,0,1,1,2,1,1,0,1,2,4,0,1,1,1,2,1,2,0,1
24,5,0,0,3,0,0,3,0,1,2,1,2,0,2,1,1,1,1,2,0,2,0,0
31,9,0,1,0,1,0,0,1,1,0,0,2,2,4,3,1,1,0,0,0,0,1,0
25,5,0,0,0,0,0,0,1,0,1,0,0,2,0,4,2,0,1,1,1,1,1,2
26,1,0,0,2,1,1,2,2,1,2,0,3,2,2,0,0,0,0,1,0,2,0,2
32,8,0,2,1,1,1,1,1,1,1,1,2,2,1,0,0,0,1,1,0,1,0,0
23,5,0,1,0,0,0,0,2,1,1,0,1,1,2,3,1,0,1,0,0,0,0,2
20,6,0,0,0,1,0,0,3,1,0,1,0,2,2,0,1,0,1,1,2,0,0,0
24,0,0,1,2,0,1,2,2,1,2,0,1,2,1,2,1,0,2,0,0,3,1,0
22,5,0,0,2,1,1,2,1,1,1,2,0,1,1,0,0,1,0,1,2,3,0,2
18,7,0,2,1,1,0,1,0,0,1,2,0,1,1,0,1,1,1,0,0,0,0,0
21,4,0,2,1,2,1,1,2,0,0,0,1,1,3,0,1,1,1,0,0,0,1,0
20,2,0,0,1,0,1,1,0,0,1,0,1,2,2,0,1,0,1,0,0,0,1,0
21,7,0,1,0,1,1,0,0,2,0,0,1,1,1,1,0,2,2,1,0,1,1,1
20,12,0,3,1,1,0,1,0,2,1,0,1,2,2,0,0,0,0,2,3,0,1,1
28,4,0,1,1,0,0,1,1,0,2,0,1,2,2,2,0,1,2,0,1,2,0,2
30,7,0,2,2,2,0,2,2,1,1,1,2,2,1,2,1,0,0,0,1,1,1,1
20,1,0,1,1,1,0,1,0,1,1,1,1,3,2,2,2,1,2,1,1,1,0,0
23,6,0,0,1,1,1,1,1,0,1,0,2,1,1,1,1,1,1,2,0,0,1,1
26,6,0,2,1,1,1,1,2,1,1,0,3,1,1,1,2,0,0,0,0,1,0,0
22,9,0,2,0,1,0,0,0,0,0,1,1,2,1,2,2,1,0,0,0,1,0,1
24,4,0,2,1,1,0,1,1,0,1,2,1,3,1,0,0,0,1,0,0,0,2,0
19,6,0,1,1,0,2,1,0,0,0,1,0,1,3,0,0,1,1,1,0,2,0,0
28,7,0,1,0,1,0,0,1,2,1,2,1,1,0,3,1,1,0,2,0,1,0,0
24,8,0,0,1,1,1,1,2,1,2,0,2,1,1,1,0,1,2,0,2,1,0,0
23,9,0,1,1,1,1,1,0,3,2,0,2,1,1,1,1,0,2,1,1,0,2,1
21,5,0,1,1,1,0,1,0,0,1,0,2,3,1,1,0,0,1,1,0,0,1,0
22,1,0,3,0,1,1,0,2,1,1,0,2,0,2,1,1,1,1,1,1,0,0,2
22,8,0,1,0,1,0,0,2,1,1,2,0,1,2,3,0,1,2,0,1,0,1,0
24,4,0,2,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,3,1,1,0,0
22,3,0,1,1,0,1,1,2,0,2,1,0,2,1,0,0,1,1,3,1,1,2,1
27,7,0,1,3,0,1,3,1,0,1,1,0,1,1,2,1,0,1,3,2,1,0,3
27,4,0,1,1,1,1,1,1,2,2,0,2,1,1,3,0,0,0,2,1,2,1,2
21,5,0,3,0,0,2,0,0,0,0,1,0,3,2,0,2,0,1,1,1,2,1,2
27,4,0,2,0,2,1,0,2,1,0,1,2,2,2,1,1,1,1,1,2,2,1,2
25,6,0,0,1,0,1,1,3,1,0,0,3,3,2,2,1,0,0,1,2,1,0,2
23,6,0,1,1,1,0,1,2,3,1,0,0,2,2,2,0,0,0,1,0,1,1,2
21,7,0,1,2,0,1,2,0,1,1,0,3,2,2,1,1,0,1,1,2,1,1,0
25,11,0,1,1,3,0,1,1,2,1,1,0,2,2,0,2,0,1,1,2,1,0,1
25,10,0,2,0,1,1,0,1,0,1,1,0,1,5,0,1,1,2,1,1,1,1,2
27,9,0,2,0,1,1,0,1,0,0,1,3,2,3,0,2,1,1,1,1,3,2,1
20,8,0,3,3,1,2,3,1,2,3,2,4,1,2,0,1,1,1,2,3,0,0,1
29,12,0,1,1,1,1,1,0,2,0,0,1,3,1,2,0,1,1,0,2,1,0,1
22,4,0,0,1,1,0,1,0,1,2,0,1,0,3,0,2,0,1,1,1,1,0,0
23,12,0,1,1,2,0,1,2,1,0,0,0,2,2,0,0,1,1,0,0,2,1,1
24,10,0,0,0,0,1,0,2,2,1,1,1,2,3,1,0,0,1,0,1,0,0,0
18,4,0,1,1,0,0,1,2,0,0,0,0,0,0,0,2,1,0,2,2,1,0,2
30,6,0,1,2,1,3,2,0,1,1,1,0,0,4,0,0,1,1,0,1,1,1,1
21,5,0,2,0,1,1,0,0,1,0,1,1,3,2,2,1,1,0,0,1,0,2,0
28,6,0,0,3,2,0,3,0,0,0,2,1,2,3,2,1,1,1,0,1,0,1,1
18,5,0,1,1,0,1,1,0,1,0,1,1,3,3,0,0,0,1,0,1,1,2,1
29,2,0,2,1,0,0,1,2,2,1,0,1,2,3,0,1,0,1,1,2,1,2,1
19,5,0,2,0,1,0,0,0,0,1,0,0,1,1,2,0,0,0,1,0,1,0,0
22,10,0,3,1,0,1,1,1,2,2,0,1,1,3,2,2,0,2,3,0,2,1,0
21,9,0,0,0,0,1,0,0,0,1,0,1,1,3,0,0,1,0,2,1,1,0,2
20,3,0,2,1,1,0,1,0,2,1,1,1,2,2,2,1,1,2,1,1,0,0,1
26,8,0,2,1,1,1,1,2,0,2,1,1,1,3,0,2,1,1,0,1,2,1,2
18,7,0,1,1,2,0,1,0,1,1,0,2,0,0,2,1,1,1,1,1,0,0,1
22,5,0,0,1,1,1,1,0,1,0,1,2,1,2,2,0,0,1,3,3,1,1,2
23,4,0,1,1,1,1,1,1,1,1,1,1,0,2,1,0,0,0,2,1,3,0,1
19,7,0,1,1,1,0,1,2,0,1,1,1,1,1,1,2,0,1,1,0,0,0,1
21,8,0,1,0,2,0,0,0,1,1,0,2,1,1,2,2,0,0,2,1,2,1,2
23,14,0,2,0,1,0,0,0,0,2,1,1,2,2,0,3,1,1,0,0,2,1,0
23,1,0,0,0,0,0,0,1,1,2,0,2,0,2,2,1,1,1,0,0,0,1,1
28,6,0,0,0,0,0,0,0,2,1,0,2,0,2,0,2,0,1,2,0,0,0,1
25,7,0,2,0,2,1,0,0,2,2,0,0,2,3,0,1,1,1,2,0,0,1,0
23,5,0,2,1,0,0,1,1,1,2,1,3,1,1,1,1,1,2,0,2,0,0,1
21,8,0,0,3,0,0,3,0,1,1,1,0,2,3,1,0,1,0,0,0,1,0,2
21,9,0,0,2,1,1,2,1,1,1,1,2,2,3,1,0,0,1,0,3,0,0,0
24,5,0,0,1,1,1,1,1,1,1,0,0,2,2,1,0,0,1,0,2,1,2,1
27,5,0,1,0,1,1,0,0,0,2,1,2,3,2,1,1,0,0,1,2,1,1,1
28,7,0,0,1,1,2,1,0,2,1,1,1,2,2,3,1,1,2,1,1,1,1,1
18,8,0,2,0,2,1,0,1,1,1,2,1,1,4,1,0,0,1,2,0,1,1,0
21,7,0,0,2,2,0,2,1,0,1,0,1,3,2,1,0,1,0,0,1,0,0,1
19,9,0,1,1,0,1,1,0,1,1,1,2,1,2,1,2,1,1,0,1,2,0,0
27,4,0,4,1,1,0,1,0,2,0,0,2,3,4,2,1,0,0,0,1,0,2,2
25,6,0,1,1,1,0,1,2,0,2,1,1,2,2,2,2,0,1,0,1,1,2,0
26,5,0,0,1,0,0,1,1,0,1,2,1,1,0,2,1,0,1,0,1,1,0,1
22,5,0,2,2,0,0,2,1,1,2,1,2,2,3,1,3,0,1,2,3,0,1,0
28,7,0,1,1,1,2,1,0,2,1,0,2,3,1,1,0,1,1,1,2,1,0,2
22,3,0,2,0,3,0,0,0,1,1,0,1,1,1,3,3,1,1,0,1,3,0,2
22,8,0,2,0,1,0,0,2,1,1,0,2,1,2,2,1,1,0,2,1,1,0,1
23,2,0,2,0,0,0,0,0,0,1,0,0,2,1,2,1,1,2,0,3,1,0,1
24,2,0,2,1,2,0,1,1,0,0,1,3,2,2,0,0,0,0,1,0,1,1,0
23,3,0,1,0,1,1,0,1,0,0,1,0,2,2,2,0,1,1,0,1,2,1,1
20,1,0,1,2,2,0,2,3,1,0,0,2,2,2,3,0,0,1,0,1,2,0,0
27,4,0,0,1,0,0,1,3,0,2,1,1,2,1,1,1,0,1,0,0,1,1,0
24,9,0,1,1,2,1,1,1,0,1,1,1,1,1,4,2,0,1,1,0,1,0,1
23,2,0,2,1,0,0,1,2,0,1,1,0,0,0,1,0,0,1,1,2,0,1,1
26,1,0,2,0,1,1,0,0,1,0,0,1,1,2,1,2,0,0,0,0,3,1,2
26,9,0,1,1,1,0,1,2,1,2,0,0,3,2,1,1,0,0,1,2,2,2,1
29,4,0,0,1,1,0,1,3,1,0,0,2,2,1,3,2,1,1,0,1,1,0,0
26,5,0,1,1,1,0,1,0,1,3,0,0,2,1,1,2,0,0,1,0,1,2,2
31,8,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,2,1,0,0,1,1
19,6,0,1,0,1,1,0,2,2,2,0,2,1,1,3,0,1,1,1,0,0,1,0
23,7,0,1,2,0,1,2,1,2,1,0,3,1,2,1,2,1,2,1,1,2,1,0
18,4,0,0,0,0,1,0,2,2,1,1,1,1,2,1,1,1,1,1,0,3,1,0
18,5,0,1,0,1,1,0,0,2,0,1,3,0,3,0,2,0,1,2,1,2,0,0
24,3,0,0,2,1,1,2,1,1,2,1,0,1,3,2,2,1,1,0,2,0,1,3
24,9,0,1,1,0,1,1,2,0,1,1,2,2,0,0,1,0,1,0,3,0,1,0
24,3,0,0,0,1,2,0,1,2,1,0,1,1,1,0,1,0,0,1,2,1,0,0
24,7,0,2,1,1,1,1,0,0,2,0,2,1,2,1,0,0,1,0,2,1,2,2
27,6,0,1,1,1,1,1,1,0,2,0,0,1,2,0,0,0,0,0,0,1,0,0
20,11,0,1,1,1,0,1,1,0,1,2,0,2,0,1,1,0,2,2,1,2,2,0
27,8,0,1,1,2,0,1,0,1,0,1,0,4,0,3,1,1,1,0,2,1,1,3
27,5,0,0,2,1,2,2,2,0,2,2,3,1,1,0,0,0,0,0,0,1,1,1
19,8,0,0,1,2,0,1,0,1,0,0,0,3,2,1,0,0,2,0,2,1,0,0
22,6,0,0,1,0,0,1,2,1,1,0,0,1,3,0,1,0,1,0,1,1,0,0
23,8,0,0,0,1,0,0,3,0,2,2,0,3,1,1,3,1,1,2,2,0,0,0
24,5,0,2,2,1,1,2,1,0,0,0,2,1,3,1,1,1,0,1,0,2,1,0
18,8,0,2,1,1,1,1,1,1,1,2,2,2,0,1,1,0,0,0,1,2,2,0
21,8,0,0,2,2,1,2,0,0,3,2,0,1,1,0,1,2,1,1,2,1,0,0
23,6,0,0,0,2,1,0,0,0,1,1,1,2,1,2,2,1,0,2,1,0,2,1
23,8,0,1,1,1,1,1,0,0,1,2,2,2,2,0,1,0,2,1,2,0,1,0
30,9,0,2,1,0,0,1,3,3,1,1,2,2,1,0,1,0,2,3,1,0,1,2
26,6,0,0,1,1,0,1,2,2,1,0,2,3,3,0,1,0,0,1,1,2,1,1
23,6,0,2,1,0,0,1,2,0,1,1,2,2,1,1,2,0,2,2,1,2,1,1
24,9,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,2,0,1,0,0,2
28,5,0,1,0,1,0,0,3,2,3,0,2,2,2,1,2,0,1,2,0,0,0,2
26,0,0,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,1,2,2,0,0
21,6,0,1,2,1,1,2,3,0,2,0,1,3,0,3,2,0,1,1,0,2,2,0
20,5,0,1,0,1,1,0,0,0,0,1,1,2,3,1,1,1,1,1,2,0,1,1
24,8,0,1,1,3,1,1,1,0,1,1,0,1,2,0,1,0,1,0,1,0,0,2
26,7,0,1,1,0,0,1,1,1,1,1,2,2,2,2,1,1,1,1,4,2,1,0
22,11,0,1,2,0,1,2,2,0,1,2,1,2,0,2,0,1,1,1,1,2,1,3
27,4,0,0,2,1,0,2,0,0,0,1,1,3,3,2,2,0,1,1,0,1,1,0
29,5,0,0,1,0,1,1,2,0,2,0,0,2,2,2,0,0,0,1,1,2,0,2
19,10,0,0,0,1,1,0,0,0,1,0,1,2,3,1,2,1,0,1,0,0,0,0
28,7,0,1,3,2,0,3,2,3,2,0,1,1,2,3,1,0,2,2,2,1,0,0
21,6,0,2,2,1,0,2,2,3,1,1,1,1,2,1,1,0,1,3,2,2,0,2
22,4,0,1,0,2,1,0,0,2,0,0,0,2,1,2,1,0,1,0,2,0,1,1
22,4,0,1,1,1,0,1,0,0,1,1,2,2,1,2,0,1,1,0,2,0,1,0
30,8,0,2,0,1,0,0,1,0,2,0,2,2,2,2,1,1,1,1,0,0,0,0
19,5,0,2,1,1,1,1,1,2,2,1,0,1,1,2,1,0,0,2,3,3,1,1
24,6,0,1,1,1,1,1,2,0,1,0,1,1,2,1,0,0,1,0,0,0,1,1
24,6,0,1,2,1,0,2,1,1,2,1,4,3,1,1,0,0,0,1,1,2,0,1
18,9,0,0,0,1,0,0,0,0,1,2,2,2,1,3,1,1,2,2,2,1,1,1
22,4,0,0,1,1,1,1,2,0,0,1,1,2,1,1,2,0,1,2,1,1,0,3
28,10,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,3,1,0,1
25,2,0,0,0,0,1,0,0,1,0,0,0,2,1,3,1,0,2,0,1,1,0,1
24,7,0,2,3,1,0,3,0,1,0,2,2,2,1,2,0,0,2,0,1,1,0,2
21,6,0,1,1,0,1,1,2,1,1,1,0,1,2,1,1,0,2,2,1,0,1,1
19,4,0,1,0,1,0,0,1,0,0,0,2,1,2,2,1,1,0,1,0,1,0,1
18,5,0,1,2,1,0,2,0,0,1,1,2,2,3,0,2,0,0,2,2,2,0,0
21,6,0,2,1,0,0,1,1,1,0,2,1,3,1,3,1,1,0,1,0,0,0,1
28,4,0,0,2,1,0,2,1,0,2,0,3,2,1,1,1,1,0,0,1,0,2,1
26,9,0,1,1,2,1,1,1,0,0,1,1,2,1,2,2,0,1,2,2,2,0,1
26,4,0,1,0,0,0,0,2,0,1,1,0,1,2,1,0,0,1,0,2,0,2,0
24,4,0,1,0,0,0,0,0,1,1,0,1,2,2,1,1,0,1,2,0,1,2,2
22,10,0,3,0,0,2,0,1,2,1,1,0,2,2,2,2,0,1,1,3,2,1,1
25,10,0,2,0,1,1,0,1,1,1,0,0,1,3,3,1,0,1,0,0,0,2,3
21,4,0,1,2,2,0,2,2,0,1,1,2,1,1,2,0,1,1,2,0,1,0,1
27,11,0,1,1,1,0,1,1,1,0,0,3,3,2,1,1,0,0,2,1,1,0,1
24,10,0,1,2,0,0,2,2,3,1,1,0,1,1,2,3,0,1,0,1,1,0,3
24,1,0,1,0,0,1,0,1,0,1,1,1,3,1,2,0,1,0,2,0,1,1,1
26,6,0,1,1,1,0,1,1,1,0,1,2,2,0,0,0,0,0,2,0,1,3,2
20,6,0,3,1,1,0,1,1,0,2,0,1,1,1,2,3,0,1,1,2,2,1,1
26,5,0,0,0,0,0,0,1,0,1,2,1,1,3,1,2,0,1,1,1,0,1,1
24,5,0,1,0,2,2,0,0,0,1,1,0,1,2,2,1,1,0,3,0,1,1,0
24,8,0,0,0,1,0,0,1,0,2,0,2,1,2,2,2,1,0,1,0,1,1,0
22,7,0,1,0,0,0,0,2,1,2,2,0,2,2,1,0,0,0,1,4,1,0,0
27,4,0,2,2,1,0,2,3,0,2,0,1,2,3,3,1,1,1,0,0,1,1,0
24,7,0,1,0,1,0,0,0,1,2,2,2,3,1,1,1,0,0,2,2,1,0,0
